"Timestamp","Select your gender","Select your country of origin","Select your age","Select your study program","Enter the number of Semesters you have studied","Enter your CGPA (Approximate if do not know exact)","Select your Program name","Select the Course name you want to review","Enter the GPA you earned in the selected course","Select the reasons, IF you could NOT pass the course","Rate your difficulty level of this course","Select the learning medium/method you found helpful to score a good grade [Attending Lectures]","Select the learning medium/method you found helpful to score a good grade [Attending Exercises]","Select the learning medium/method you found helpful to score a good grade [Online Self study]","Select the learning medium/method you found helpful to score a good grade [Group Study]","Why was attending lectures NOT helpful?","Why was attending lectures helpful?","How much did you participate in the course activity [Attending Lectures]","How much did you participate in the course activity [Attending Exercises]","In general, do you think this course is being helpful in your career?","Feel free to add your comments for the course","Select your Program name","Select the course name","Enter the GPA you earned in the selected course","Select the reasons, IF you could NOT pass the course","Rate your difficulty level of this course","Select the learning medium/method you found helpful to score a good grade [Attending Lectures]","Select the learning medium/method you found helpful to score a good grade [Attending Exercises]","Select the learning medium/method you found helpful to score a good grade [Online Self study]","Select the learning medium/method you found helpful to score a good grade [Group Study]","Why was attending lectures NOT helpful?","Why was attending lectures helpful?","How much did you participate in the course activity [Attending Lectures]","How much did you participate in the course activity [Attending Exercises]","In general, do you think this course is being helpful in your career?","Feel free to add your comments for the course"
"2019/11/29 9:19:57 AM GMT+1","Male","Turkey","28","Masters","1","0","","","","","","","","","","","","","","","","M.Sc. Computer Engineering (Intelligent Networked Systems)","Information Engineering","0","Delivered content in the lecture was not helpful to pass","7","100%","100%","100%","0%","Didn't make any difference to attend the classes;Teaching method was not good;Content delivered was outdated or not interesting","Content was well-defined and well-structured in order to pass the course","100%","100%","Yes",""
"2019/11/29 9:24:05 AM GMT+1","Male","Turkey","28","Masters","1","0","","","","","","","","","","","","","","","","M.Sc. Computer Engineering (Intelligent Networked Systems)","Distributed Systems","0","Delivered content in the lecture was not helpful to pass;I didn't study enough to pass the exam","8","100%","100%","100%","0%","Didn't make any difference to attend the classes;Teaching method was not good","Content was well-defined and well-structured in order to pass the course","100%","100%","Maybe",""
"2019/11/29 10:29:37 PM GMT+1","Male","Turkey","21","Masters","14","2.8","","","","","","","","","","","","","","","","M.Sc. Computer Engineering (Intelligent Networked Systems)","Learning Analytics","2.5","In exercise part, my group's grade to low","5","100%","100%","100%","0%","","Content was well-defined and well-structured in order to pass the course;Teaching methodology was interesting","100%","100%","Maybe","I would like to thank you to taking time to preparing this questionnaire, I am sure that will help not only the students it will HELP TO MANKIND :)) "
"2019/11/30 7:31:17 PM GMT+1","Male","Pakistan","27","Masters","6","3","","","","","","","","","","","","","","","","M.Sc. Computer Engineering (Intelligent Networked Systems)","Peer-to-Peer Systeme","4","Professor used to go in very much deep detail which makes confusion about the real topic","4","25%","0%","0%","75%","Teaching method was not good;Class environment was not encouraging and cooperative","Content delivered was interesting","50%","0%","Yes","Professor need to have a QA session after every lecture "
"2019/12/01 8:03:40 PM GMT+1","Male","China","25","Masters","2","2.5","","","","","","","","","","","","","","","","M.Sc. Computer Engineering (Intelligent Networked Systems)","Automobilelektronik","2.0","Delivered content in the lecture was not helpful to pass;I didn't study enough to pass the exam;Didn't have enough time to study due to the job","8","75%","50%","75%","50%","Students were over crowded;Didn't make any difference to attend the classes","Content was well-defined and well-structured in order to pass the course;Teaching methodology was interesting","75%","50%","Maybe",""
"2019/12/01 8:09:40 PM GMT+1","Female","China","25","Masters","6","3","","","","","","","","","","","","","","","","M.Sc. Computer Engineering (Intelligent Networked Systems)","Game Architecture and Design","2.3","I didn't study enough to pass the exam","10","100%","100%","100%","100%","Content delivered was outdated or not interesting","Content was well-defined and well-structured in order to pass the course","100%","100%","Maybe",""
"2019/12/01 8:14:48 PM GMT+1","Male","China","25","Masters","4","2.1","","","","","","","","","","","","","","","","M.Sc. Computer Engineering (Intelligent Networked Systems)","Information Retrieval","1.3","","7","75%","75%","75%","75%","","Content was well-defined and well-structured in order to pass the course;Teaching methodology was interesting;Content delivered was interesting;Class environment was encouraging and cooperative","75%","75%","Yes",""
"2019/12/01 8:15:28 PM GMT+1","Male","Germany","26","Masters","9","2.8","","","","","","","","","","","","","","","","M.Sc. Computer Engineering (Intelligent Networked Systems)","Information Mining","1.7","I didn't study enough to pass the exam;Personal problems","8","50%","50%","75%","50%","Didn't make any difference to attend the classes","Content was well-defined and well-structured in order to pass the course","25%","25%","Yes",""
"2019/12/01 8:19:20 PM GMT+1","Female","China","26","Masters","7","2.9","","","","","","","","","","","","","","","","M.Sc. Computer Engineering (Intelligent Networked Systems)","Information Retrieval","3.0","","8","100%","100%","100%","100%","Class environment was not encouraging and cooperative","Content was well-defined and well-structured in order to pass the course;Teaching methodology was interesting;Content delivered was interesting;Class environment was encouraging and cooperative","100%","100%","Yes",""
"2019/12/01 9:24:02 PM GMT+1","Male","India","23","Masters","2","2.3","","","","","","","","","","","","","","","","M.Sc. Computational Mechanics","Structural Dynamics","2.3","","6","75%","75%","25%","25%","","Content was well-defined and well-structured in order to pass the course;Teaching methodology was interesting;Content delivered was interesting;Class environment was encouraging and cooperative","75%","75%","Yes",""
