Gender,Country,Age,Program,Semester,Cgpa,ProgramName,CourseName,Gpa,FailingReason,DifficultyLevel,LMAttendingLectures,LMAttendingExcercises,LMOnlineStudy,LMGroupStudy,AttendingLecturesNotHelpful,AttendingLecturesHelpful,LecturesParticipation,ExcerciseParticipation,CourseBeingHelpful,Comments
Male,Turkey,28,Masters,1,0,M.Sc. Computer Engineering (Intelligent Networked Systems),,0,Delivered content in the lecture was not helpful to pass,7,100%,100%,100%,0%,Didn't make any difference to attend the classes;Teaching method was not good;Content delivered was outdated or not interesting,Content was well-defined and well-structured in order to pass the course,100%,100%,Yes,
Male,Turkey,28,Masters,1,0,M.Sc. Computer Engineering (Intelligent Networked Systems),,0,Delivered content in the lecture was not helpful to pass;I didn't study enough to pass the exam,8,100%,100%,100%,0%,Didn't make any difference to attend the classes;Teaching method was not good,Content was well-defined and well-structured in order to pass the course,100%,100%,Maybe,
Male,Turkey,21,Masters,14,2.8,M.Sc. Computer Engineering (Intelligent Networked Systems),,2.5,"In exercise part, my group's grade to low",5,100%,100%,100%,0%,,Content was well-defined and well-structured in order to pass the course;Teaching methodology was interesting,100%,100%,Maybe,"I would like to thank you to taking time to preparing this questionnaire, I am sure that will help not only the students it will HELP TO MANKIND :)) "
Male,Pakistan,27,Masters,6,3,M.Sc. Computer Engineering (Intelligent Networked Systems),,4,Professor used to go in very much deep detail which makes confusion about the real topic,4,25%,0%,0%,75%,Teaching method was not good;Class environment was not encouraging and cooperative,Content delivered was interesting,50%,0%,Yes,Professor need to have a QA session after every lecture 
Male,China,25,Masters,2,2.5,M.Sc. Computer Engineering (Intelligent Networked Systems),,2.0,Delivered content in the lecture was not helpful to pass;I didn't study enough to pass the exam;Didn't have enough time to study due to the job,8,75%,50%,75%,50%,Students were over crowded;Didn't make any difference to attend the classes,Content was well-defined and well-structured in order to pass the course;Teaching methodology was interesting,75%,50%,Maybe,
Female,China,25,Masters,6,3,M.Sc. Computer Engineering (Intelligent Networked Systems),,2.3,I didn't study enough to pass the exam,10,100%,100%,100%,100%,Content delivered was outdated or not interesting,Content was well-defined and well-structured in order to pass the course,100%,100%,Maybe,
Male,China,25,Masters,4,2.1,M.Sc. Computer Engineering (Intelligent Networked Systems),,1.3,,7,75%,75%,75%,75%,,Content was well-defined and well-structured in order to pass the course;Teaching methodology was interesting;Content delivered was interesting;Class environment was encouraging and cooperative,75%,75%,Yes,
Male,Germany,26,Masters,9,2.8,M.Sc. Computer Engineering (Intelligent Networked Systems),,1.7,I didn't study enough to pass the exam;Personal problems,8,50%,50%,75%,50%,Didn't make any difference to attend the classes,Content was well-defined and well-structured in order to pass the course,25%,25%,Yes,
Female,China,26,Masters,7,2.9,M.Sc. Computer Engineering (Intelligent Networked Systems),,3.0,,8,100%,100%,100%,100%,Class environment was not encouraging and cooperative,Content was well-defined and well-structured in order to pass the course;Teaching methodology was interesting;Content delivered was interesting;Class environment was encouraging and cooperative,100%,100%,Yes,
Male,India,23,Masters,2,2.3,M.Sc. Computational Mechanics,,2.3,,6,75%,75%,25%,25%,,Content was well-defined and well-structured in order to pass the course;Teaching methodology was interesting;Content delivered was interesting;Class environment was encouraging and cooperative,75%,75%,Yes,
Female,Indonesia,17,Bachelors,1,0,B.Sc. Computer Engineering (Software Engineering),Mechanics I1,,,,,,,,,,,,,
Female,China,28,Masters,0,2.9,M.Sc. Mechanical Engineering (Production and Logistics),,3,,7,50%,75%,50%,75%,,Content was well-defined and well-structured in order to pass the course,75%,75%,Maybe,
Male,China,23,Bachelors,5,2,B.Sc. Computer Engineering (Software Engineering),Automaten und formale Sprachen,,,,,,,,,,,,,
Male,India,22,Masters,1,0,M.Sc. Computational Mechanics,,0,Delivered content in the lecture was not helpful to pass,8,100%,100%,75%,50%,Teaching method was not good,,100%,100%,Yes,
Female,India,27,Masters,6,2.8,M.Sc. Computer Engineering (Intelligent Networked Systems),,2.3,,7,50%,50%,50%,25%,,Content was well-defined and well-structured in order to pass the course;Teaching methodology was interesting,50%,50%,Yes,Good and useful
Male,Egypt,22,Bachelors,5,2,B.Sc. Computer Engineering (Software Engineering),Regelungstechnik EIT (alt: Einführung in die Automatisier,,,,,,,,,,,,,
